id,timestamp,level,message
1,2026-05-21T09:56:01.817056+00:00,INFO,Admin login: admin
2,2026-05-21T09:57:53.400961+00:00,INFO,SEA Application starting with SQLite database...
3,2026-05-21T09:57:55.793908+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
4,2026-05-21T09:58:09.917986+00:00,INFO,SEA Application starting with SQLite database...
5,2026-05-21T09:58:12.002710+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
6,2026-05-21T09:59:31.403731+00:00,INFO,SEA Application starting with SQLite database...
7,2026-05-21T09:59:33.547387+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
8,2026-05-21T10:05:01.256992+00:00,INFO,SEA Application starting with SQLite database...
9,2026-05-21T10:05:03.310474+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
10,2026-05-21T10:08:29.457786+00:00,INFO,Admin login: admin
11,2026-06-15T18:19:02.780754+00:00,INFO,Admin login: admin
12,2026-06-15T18:30:11.117001+00:00,INFO,Login: admin (admin)
13,2026-06-15T18:30:11.258382+00:00,INFO,User created: analyst1
14,2026-06-15T18:30:11.594624+00:00,INFO,User created: viewer1
15,2026-06-15T18:30:11.672597+00:00,INFO,Login: viewer1 (viewer)
16,2026-06-15T18:30:11.758376+00:00,INFO,All alerts cleared
17,2026-06-15T18:30:11.858180+00:00,INFO,Imported 2 policies
18,2026-06-15T18:30:11.961317+00:00,INFO,Imported 1 roles
19,2026-06-15T18:30:12.098136+00:00,INFO,User deleted: viewer1
20,2026-06-15T18:30:48.957681+00:00,INFO,Login: admin (admin)
21,2026-06-15T18:30:49.037880+00:00,INFO,User created: testuser
22,2026-06-15T18:30:49.101119+00:00,INFO,Login: testuser (analyst)
23,2026-06-15T18:30:49.149362+00:00,INFO,All alerts cleared
24,2026-06-15T18:36:40.197667+00:00,INFO,Login: admin (admin)
25,2026-06-15T18:37:57.962591+00:00,INFO,Login: admin (admin)
26,2026-06-15T18:37:58.034243+00:00,INFO,User created: viewer1
27,2026-06-15T18:37:58.086309+00:00,INFO,Login: viewer1 (viewer)
28,2026-06-15T18:37:58.147376+00:00,INFO,Login: analyst1 (analyst)
29,2026-06-15T18:37:58.234275+00:00,INFO,Imported 2 policies
30,2026-06-15T18:37:58.284789+00:00,INFO,Imported 1 roles
31,2026-06-15T18:37:58.350907+00:00,INFO,User deleted: viewer1
32,2026-06-15T18:38:31.183655+00:00,INFO,Login: admin (admin)
33,2026-06-15T18:38:31.264398+00:00,INFO,User created: viewer1
34,2026-06-15T18:38:31.300213+00:00,INFO,Login: viewer1 (viewer)
35,2026-06-15T18:38:31.365980+00:00,INFO,Login: analyst1 (analyst)
36,2026-06-15T18:38:31.444554+00:00,INFO,Imported 2 policies
37,2026-06-15T18:38:31.479815+00:00,INFO,Imported 1 roles
38,2026-06-15T18:38:31.542623+00:00,INFO,User deleted: viewer1
39,2026-06-15T18:38:51.039934+00:00,INFO,Login: admin (admin)
40,2026-06-15T18:38:51.142098+00:00,INFO,User created: viewer1
41,2026-06-15T18:39:50.556573+00:00,INFO,Login: admin (admin)
42,2026-06-15T18:39:50.648787+00:00,INFO,User created: test123
43,2026-06-16T19:41:55.432236+00:00,INFO,SEA Application starting with SQLite database...
44,2026-06-16T19:41:58.409608+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
45,2026-06-16T19:41:59.065122+00:00,INFO,"Loaded admin user, 18 active policies"
46,2026-06-16T19:43:04.171465+00:00,INFO,SEA Application starting with SQLite database...
47,2026-06-16T19:43:06.922499+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
48,2026-06-16T19:43:07.844282+00:00,INFO,"Loaded admin user, 18 active policies"
49,2026-06-16T19:45:18.374597+00:00,INFO,SEA Application starting with SQLite database...
50,2026-06-16T19:45:20.641493+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
51,2026-06-16T19:45:20.791317+00:00,INFO,"Loaded admin user, 18 active policies"
52,2026-06-16T19:45:43.146187+00:00,INFO,SEA Application starting with SQLite database...
53,2026-06-16T19:45:45.355846+00:00,WARN,"Ryu controller not reachable, running in standalone mode"
54,2026-06-16T19:45:45.512789+00:00,INFO,"Loaded admin user, 18 active policies"
55,2026-06-16T19:46:06.469957+00:00,INFO,Login: admin (admin)
56,2026-06-16T19:49:03.083556+00:00,INFO,All alerts cleared
57,2026-06-16T19:49:33.040832+00:00,INFO,Admin logout: admin
